Source;Perplexity generated;PCGS;English Wikipedia;American Numismatic Association;NGC
MS60;"More than 20 contact marks, some over 3 mm in diameter, and up to 10 scratches up to 7 mm long, including in focal areas; original luster may be patchy, preserved on at least 30% of the surface; strike may be weak, but the coin is free from actual circulation wear.";No wear. May be poorly struck with many heavy marks or hairlines.;Unattractive, dull or washed-out, mint luster typify this coin. There may be many large detracting contact marks (bag nicks), or damage spots, but absolutely no trace of wear. There could be a heavy concentration of hairlines (minute scratches to a coin's surface), or unattractive large areas of scuff-marks. Rim nicks may be present, and eye appeal is very poor. Copper coins may be dark, dull and spotted.;Unattractive, dull, or washed-out mint luster may mark this coin. �There may be many large detracting contact marks, or damage spots, but no trace of circulation wear. �There could be a heavy concentration of hairlines or unattractive large areas of scuff marks. �Rim nicks may be present, and eye appeal is very poor. �Copper coins may be dark, dull, and spotted.;In this uncommon grade, a sovereign is still technically Mint State, but it likely has extremely poor luster or is completely covered in abrasions. It might also have a very weak strike or have some very light rub on the high points that nearly places the coin in the About Uncirculated range.
AU58;Slight scuffing (less than 5% of the area) at the highest points of the relief: the tip of the portrait's nose, the protruding parts of the coat of arms. 90-95% of the original gloss remains. On silver Morgan dollars in AU58, Liberty's hair is matted while maintaining a mirror field.;Only the slightest friction on the highest points. Virtually full luster.;Almost all of the original mint luster remains;The barest trace of wear may be seen on one or more of the high points of the design. �No major detracting contact marks will be present and the coin will have attractive eye appeal and nearly full luster, often with the appearance of a higher grade.;
AU55;"Slight wear visible on up to 10% of the highest points (such as hair curls, eagle�s breast, or shield); all details are clearly outlined; up to 3 minor scratches up to 2 mm long allowed in non-focal areas; at least 80% of original luster remains.";Full detail, with light friction on the high points. Considerable luster remains.;Three-fourths of the original mint luster remains.;Only small patches of wear are visible on the highest points of the design. �As is the case with the other grades described here, specific information is listed in The Official American Numismatic Association Grading Standards for U.S. Coins �under the various coin types, for wear often occurs in different spots on different designs. �Eye appeal and surface are above average.;
AU53;"Slight wear on up to 20% of high points; minor flattening of relief on the most prominent elements; up to 4 minor scratches up to 2 mm long; at least 70% of original luster preserved.";Slight flatness and loss of luster visible on high points of design. Some luster remains.;;Noticeable spots of wear on several high points. �Very few contact marks or blemishes and generally good eye appeal. �Luster is diminished.;
AU50;"Noticeable wear on up to 30% of the highest points; details are still complete but less sharp; up to 5 minor scratches up to 2 mm long; at least 60% of original luster remains.";Trace of wear now seen on higher points of design. Bits of luster may remain.;Traces of wear at the highest points of the coin. At least half of the original mint luster remains.;Shows traces of wear on many of the highest parts of the design. �On many of these coins, some of the original mint luster is still present. �May have a few noticeable contact marks or flaws.;
XF4
5;All details are completely distinguishable, scuffing is only on certain convex parts and makes up no more than 10% of the surface, most of the relief and small details are preserved, residual gloss is possible in the recesses.;High points of design show light wear. A bit of luster may still be visible in protected areas.;Slight, overall wear is seen at the highest points of the coin (examples being raised features). All the details are full and very sharp. Mint luster may show only in protected areas of the coin's surface (Such as between the star points).;Has light overall wear on the coin�s highest points. �All design details are very sharp. �Mint luster is usually seen only in protected areas of the coin�s surface such as between the star point and in the letter spaces.;
XF40;All the details of the drawing are visible, scuffing on most of the convex parts, wear is 10-15% of the surface, small elements are slightly smoothed, the edging and inscriptions are completely preserved.;All design elements still show, but high points now worn flat. Little to no luster remains.;Overall sharpness. Light wear seen at the highest points of the coin. Details of the coin are sharp. Traces of mint luster may show.;Has only slight wear but more extensive than the preceding (EF-45), still with excellent overall sharpness. �Traces of mint luster may still show. �All design elements show clearly.;
XF35;Scuffing on 20-25% of the surface, all details are visible, wear affects only the most prominent parts, there may be traces of gloss in protected areas.;Light wear is seen over entire surface though all major detail still visible.;All lettering and major features are sharp. Light, but even wear is seen on the surface and high points of the coin. Traces of mint�luster�may show.;Surfaces show light overall wear with minor blemishes. �May have one or two small rim nicks. �All details show clearly.;
XF30;Slight scuffing on 25-30% of the surface, almost all the details are clearly distinguishable, small elements are slightly smoothed, the edging is complete.;Wear now evident over entire surface. Intricate design detail beginning to flatten.;All lettering and major features are sharp. Light, but even wear is seen on the surface and high points of the coin.;"Light even wear shows on the surface; design details on the highest points begin to soften, but all lettering and major features are bold.";
VF25;30-35% of the surface is worn, almost all the details are visible, but smoothed out, the inscriptions and the main elements of the drawing are clear.;Entire surface shows some wear, but major design features remain clear.;All lettering and major features are sharp. Light to moderate, but even wear is seen on the surface and high points of the coin.;Entire surface shows light signs of wear and softening of design elements. �Major features are strong and clear. �Some of the minor details blend into the design.;
VF20;Average preservation, wear on 35-40% of the surface, the edges of the convex parts are smoothed, but almost all the details are visible, the edging is complete and clear.;Moderate wear with some loss of detail evident in design.;Moderate wear on the higher surface features.;Moderate noticeable wear on the higher parts of the design. �Minor details are beginning to flatten. �Surfaces are attractive and free of serious blemishes, erosion, nicks, or scratches.;
F15;The abrasion is 45-50% of the surface, the relief details are better distinguishable than those of the F-12, all letters and numbers are clear, the edging is full and clear.;Slightly less than half of finer detail worn flat. All lettering remains sharp and clear.;Slightly more detail in the recessed areas of the coin.;Shows moderate even wear through the surface. �Entire design is bold and clear with traces of flattening.;
F12;The abrasion is 50-60% of the surface, about half of the details are lost, but all the main elements and inscriptions are distinguishable, the edging is complete.;About half of detail now worn flat. All lettering remains visible.;Some deeply recessed areas show detail. All lettering is sharp. The letters in the word LIBERTY show completely in coins with this feature, but may be weak. Moderate to considerable, but even wear throughout the coin.;Moderate to considerable even wear. �Entire design is bold. �All lettering, including the word LIBERTY (on coins with this feature on the shield or headband), is visible, but may only show parts of the letters. �Twenty cent coins with raised letters in LIBERTY are an exception.;
VG10;The wear is all over the surface, the details are smoothed out by 70-75%, all the inscriptions and the date are legible, the edging is complete or almost complete.;Considerable wear has flattened most of the fine detail. Most lettering remains readable.;Slightly clearer design-features, with five or possibly six letters of the word LIBERTY showing in coins with this feature.;Even wear throughout the entire coin. �Parts of the rim may be flat but still discernable. �Some of the letters in LIBERTY are readable.;
VG8;Wear is observed on the entire surface, the details are smoothed by 75-80%, but the main elements of the drawing and the inscription are distinguishable, the edge is preserved for the most part.;Most central detail now worn flat. Some inner lettering still visible. Rims remain full.;Slight detail shows, with two to three letters of the word LIBERTY showing in coins with this feature.;Well worn. �Major design elements are visible, but with faintness in areas. �Head of Liberty, wreath, and other major features, as applicable, are visible in outline form, without center detail. �LIBERTY is mostly worn away.;
G6;The letters and numbers are noticeably erased, but legible, the main contours of the drawing are distinguishable, wear covers 80-85% of the surface, the edge can be partially preserved.;Rims and peripheral lettering full but design now flat and visible only in outline form.;Rims of the coin are complete. Peripheral lettering is full.;Heavily worn, but with clean attractive surfaces and no major blemishes. �May have a few rim nicks and scratches. �Rim is very weak but basically complete.;
G4;The letters and numbers are almost completely erased, only the largest elements of the design are distinguishable, the wear is 85-90% of the surface, the edge is erased by 30% or more.;Rims mostly full but may be flat or slightly worn into peripheral letter in spots.;Rims of the coin are slightly worn, design is visible, but faint in areas, with many parts of the coin worn flat. Peripheral lettering nearly full.;Heavily worn. �Major design elements are visible, but with faintness in areas. �Head of Liberty, wreath, and other major features, as applicable, are visible in outline form, without center detail. �Rims may be incomplete in spots.;
AG3;"Most of the letters and numbers are legible, but the relief has been erased to 90-95% of the surface; the details of the drawing are difficult to determine, the edge is completely erased in places.";Rims worn into tops of lettering but most lettering remains readable.;Readable lettering although very heavily worn. The date and design may be worn smooth.;Very heavily worn, with portions of the lettering, date, and legends worn smooth. �The date is barely readable. �Rims merge into the lettering.;
FR2;"The main outlines of the coin type are barely discernible, individual letters or numbers may be visible, but most of the relief has been lost; wear accounts for approximately 95-98% of the area.";Entire coin is worn flat, with only traces of peripheral lettering still visible.;Some detail shows;Most of the design details are worn completely smooth. �Much of the legend and date are merged into the field. �Rims are flat or missing. �May have serious nicks, dents, and defects.;
PO1;"The coin is almost completely erased, only the contours and metal are distinguishable, details and inscriptions are almost indistinguishable; no more than 1-2% of the original relief remains, wear covers 98-100% of the surface.";�Identifiable as to type, date and mintmark;Clear enough to identify, date may be worn smooth with one side of the coin blanked. Coins that are very badly corroded may also fall under this category.;Only the basic coin type is identifiable. �Date and mintmark must be strong enough to be readable. �Entire surface is worn and may be disfigured by numerous blemishes.;
